INFO 2024-09-07 20:45:08,128 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/crispy_forms/__init__.py first seen with mtime 1722303865.0887895
DEBUG 2024-09-07 20:45:08,572 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/contrib/auth/tokens.py first seen with mtime 1721970292.9942107
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/asyncio/subprocess.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/urls/converters.py first seen with mtime 1721970293.695081
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/hashlib.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/email/_encoded_words.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/email/mime/nonmultipart.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/importlib/resources/_legacy.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/apps/config.py first seen with mtime 1721970292.5702894
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/concurrent/__init__.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/http/cookie.py first seen with mtime 1721970293.6790838
DEBUG 2024-09-07 20:45:08,573 autoreload File /home/ubuntu/3CX/cdr/cdr3cx/models.py first seen with mtime 1725727678.1967967
DEBUG 2024-09-07 20:45:08,573 autoreload File /home/ubuntu/3CX/cdr/cdr3cx/templatetags/__init__.py first seen with mtime 1722481219.0566788
DEBUG 2024-09-07 20:45:08,573 autoreload File /usr/lib/python3.12/asyncio/events.py first seen with mtime 1722447828.0
DEBUG 2024-09-07 20:45:08,573 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_54.py first seen with mtime 1722277845.905288
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/phonenumbers/data/alt_format_84.py first seen with mtime 1722277845.9092875
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/cache.py first seen with mtime 1721970293.6970806
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/urllib3/util/util.py first seen with mtime 1723270972.3105247
DEBUG 2024-09-07 20:45:08,574 autoreload File /home/ubuntu/3CX/venv/lib/python3.12/site-packages/django/utils/log.py first seen with mtime 1721970293.7020798
